complaint_text,topic
"My account balance is showing incorrect information. There is RM 2,032.08 missing that I cannot account for. This is affecting my daily life.",account_balance
This is unacceptable. i'm unable to make overseas transfers via the app. It keeps timing out at the final step. Please resolve this immediately.,mobile_app_transfer
This is unacceptable. the banking app on my iPhone 15 won't let me sign in. I've tried resetting my password three times but the login still fails.,mobile_app_login
I've been a loyal customer for years and now eTC card auto top-up feature stopped working. My card balance is zero and I can't pay tolls. I'm considering switching banks over this.,etc_card_topup
ETC card top-up via ATM was successful but the balance on the card wasn't updated. I expect a response within 24 hours.,etc_card_topup
I've been a loyal customer for years and now fund transfer on the mobile banking app shows 'Pending' for over 24 hours. The amount has been deducted. I'm considering switching banks over this.,mobile_app_transfer
"My OTP SMS is arriving 20 minutes late, causing the code to expire before I can use it. I'm considering switching banks over this.",mobile_app_otp
This is unacceptable. my debit card was blocked after one failed PIN attempt. This is very inconvenient. I expect a response within 24 hours.,debit_card_blocked
I did a balance inquiry at the ATM and it showed a lower balance than what's in my account. Please resolve this immediately.,debit_card_atm
I've been a loyal customer for years and now credit card reward points were deducted from my account without my knowledge. Please resolve this immediately.,credit_card_billing
I've been a loyal customer for years and now my credit card statement shows a late fee even though I paid the minimum amount on time.,credit_card_billing
This is my third complaint about this issue. i'm unable to make overseas transfers via the app. It keeps timing out at the final step. I will escalate to the regulator if this is not resolved.,mobile_app_transfer
I cannot access your internet banking portal. The website keeps showing a '503 Service Unavailable' error.,online_banking_access
I'm contacting you because the CitiCore Bank app freezes whenever I navigate to the transaction history page. I have to restart my phone. I expect a response within 24 hours.,mobile_app_crash
My credit card keeps getting declined even though I paid off the full balance last week. I expect a response within 24 hours.,credit_card_declined
I need urgent help — the mobile app is saying my OTP is incorrect even though I'm entering it exactly as received. Please resolve this immediately.,mobile_app_otp
This is my third complaint about this issue. online banking login page is down. I've tried multiple browsers and devices. I will escalate to the regulator if this is not resolved.,online_banking_access
"This is my third complaint about this issue. credit card declined for an online purchase of RM 2,604.89. My card is active and not expired. I expect a response within 24 hours.",credit_card_declined
I'm not receiving the OTP SMS needed to complete my transaction. I've been waiting 30 minutes. This is affecting my daily life.,mobile_app_otp
"Hi, I'm writing to complain that your mobile app login page just spins and never loads. I've been unable to access my account since February 04, 2026. This is affecting my daily life.",mobile_app_login
Debit card shows as frozen in the app but I didn't freeze it. Please unblock it. I expect a response within 24 hours.,debit_card_blocked
"Hi, I'm writing to complain that mobile app keeps logging me out immediately after I sign in. This is happening on my Pixel 8. This is affecting my daily life.",mobile_app_login
This is my third complaint about this issue. my credit card bill shows a foreign transaction fee for a purchase I made domestically. This is affecting my daily life.,credit_card_billing
This is my third complaint about this issue. my debit card got stuck in the ATM slot. It won't come out and the screen has gone blank. I'm considering switching banks over this.,debit_card_atm
I'm contacting you because i tried to use my credit card at IKEA but it was declined without any reason.,credit_card_declined
This is my third complaint about this issue. i keep requesting OTP but it never arrives. I've checked my signal and SMS inbox. I expect a response within 24 hours.,mobile_app_otp
"Dear support team, eTC card auto reload failed multiple times this month, leaving me unable to use the highway.",etc_card_topup
The app freezes for 5 minutes every time I try to view my credit card bill.,mobile_app_crash
I've been a loyal customer for years and now oTP is not being sent to my registered mobile number 790-780-3884x17664. I cannot complete my login. This is affecting my daily life.,mobile_app_otp
"This is my third complaint about this issue. my savings account balance dropped by RM 1,900.64 overnight with no transaction showing on my statement. I'm considering switching banks over this.",account_balance
I need urgent help — aTM dispensed short of the requested amount but debited my account for the full amount. I'm considering switching banks over this.,debit_card_atm
I'm contacting you because i attempted an urgent bank transfer but the app gave an error and I cannot see if it went through. Please resolve this immediately.,mobile_app_transfer
I am extremely frustrated because the app freezes for 5 minutes every time I try to view my credit card bill. This is affecting my daily life.,mobile_app_crash
This is my third complaint about this issue. my credit card ending in 8819 was declined at a Watsons store even though I have available credit. This is affecting my daily life.,credit_card_declined
"My account balance is showing incorrect information. There is RM 4,075.84 missing that I cannot account for.",account_balance
I am extremely frustrated because my account balance shows negative even though I have funds deposited. This looks like a system error. This is affecting my daily life.,account_balance
ATM gave me an error message and kept my card. Transaction reference: TXN-TBGO-120089.,debit_card_atm
"Dear support team, app closes unexpectedly while I'm in the middle of making a payment. Very frustrating. I will escalate to the regulator if this is not resolved.",mobile_app_crash
This is unacceptable. i received a toll violation notice even though my ETC card was properly installed. I will escalate to the regulator if this is not resolved.,etc_card_toll
I am extremely frustrated because my debit card was suddenly blocked. I cannot use it for any transactions.,debit_card_blocked
"Dear support team, the banking app goes completely black and then crashes when I try to access my loan details.",mobile_app_crash
I'm contacting you because online top-up for my ETC card failed but the payment was debited from my bank account. I'm considering switching banks over this.,etc_card_topup
I'm contacting you because i couldn't pay my hotel bill because your credit card was declined. This caused serious embarrassment.,credit_card_declined
I've been a loyal customer for years and now i tried to reload my ETC card at a top-up kiosk and it rejected my debit card. This is affecting my daily life.,etc_card_topup
"Hi, I'm writing to complain that aTM withdrew money from my account but dispensed the wrong amount. I will escalate to the regulator if this is not resolved.",debit_card_atm
This is unacceptable. internet banking is not loading on my computer. I need to transfer funds urgently. Please resolve this immediately.,online_banking_access
I am extremely frustrated because mobile app is unresponsive after I switch between accounts. I have to reinstall it every time. This is affecting my daily life.,mobile_app_crash
I am extremely frustrated because the fingerprint login on my banking app suddenly stopped working. I cannot get into my account at all.,mobile_app_login
