complaint_text,topic,is_new_topic
I've been a loyal customer for years and now credit card reward points were deducted from my account without my knowledge. Please resolve this immediately.,credit_card_billing,False
Biometric login on your app is completely broken on my Pixel 8. Face ID was working perfectly before. Please look into this immediately.,biometric_auth_failure,True
I am extremely frustrated because my debit card got stuck in the ATM slot. It won't come out and the screen has gone blank. I will escalate to the regulator if this is not resolved.,debit_card_atm,False
I tried to use my CitiCore Bank debit card and got a 'Card restricted' message. I haven't done anything wrong. Please resolve this immediately.,debit_card_blocked,False
My Bitcoin purchase through the bank app was deducted from my account but no crypto was received. Please look into this immediately.,crypto_wallet_error,True
Your internet banking website is extremely slow and times out before I can complete any transaction. This is affecting my daily life.,online_banking_access,False
I need help because my bank's buy-now-pay-later shows a due amount that doesn't match my purchase total. Please look into this immediately.,bnpl_payment_dispute,True
I need help because my virtual credit card limit doesn't match what I set when I created it. Please look into this immediately.,virtual_card_issue,True
Urgent complaint: i tried to buy Ethereum through your app and got 'Transaction rejected' with no reason given.,crypto_wallet_error,True
The bank blocked my debit card without sending me a notification or reason. This is affecting my daily life.,debit_card_blocked,False
I am extremely frustrated because my new debit card was blocked before I even activated it. I cannot make any purchases. I will escalate to the regulator if this is not resolved.,debit_card_blocked,False
Urgent complaint: i signed up for buy-now-pay-later through your bank but my installment amount is incorrect.,bnpl_payment_dispute,True
This is unacceptable. my ETC card was not recognized at the toll booth on the highway today.,etc_card_toll,False
I need help because i scanned a QR code to pay at Grab but the payment failed and money was deducted. I'm very disappointed.,qr_payment_failure,True
I want to report a problem: your app's face recognition feature is not working in low light. I have to type my password every time. Please look into this immediately.,biometric_auth_failure,True
I am extremely frustrated because my fixed deposit maturity amount was not credited to my account on the due date. I'm considering switching banks over this.,account_balance,False
I registered my fingerprint for banking authentication but it no longer works. The app rejects my fingerprint every time.,biometric_auth_failure,True
I'm contacting you because i'm experiencing constant app crashes on my Pixel 8. The app is unusable right now. I'm considering switching banks over this.,mobile_app_crash,False
I can't use fingerprint authentication to approve payments anymore. The sensor keeps timing out. This is urgently needed.,biometric_auth_failure,True
I'm contacting you because i was fined for not paying toll because my ETC card wasn't recognized. Please help. This is affecting my daily life.,etc_card_toll,False
ETC card top-up via ATM was successful but the balance on the card wasn't updated.,etc_card_topup,False
I was billed twice for the same transaction at Shell on my credit card. This is affecting my daily life.,credit_card_billing,False
Mobile banking app is extremely slow. It takes over 2 minutes to load my account balance.,mobile_app_crash,False
Urgent complaint: i'm being charged interest on my BNPL plan even though it was advertised as interest-free.,bnpl_payment_dispute,True
My QR payment was successful but I received no receipt and merchant got no notification.,qr_payment_failure,True
Urgent complaint: i set a crypto limit order but it was never executed even though the price target was reached.,crypto_wallet_error,True
I can't use fingerprint authentication to approve payments anymore. The sensor keeps timing out. This is urgently needed.,biometric_auth_failure,True
This is my third complaint about this issue. eTC card reader at the Subang toll failed to scan my card. The barrier didn't open. This is affecting my daily life.,etc_card_toll,False
"Dear support team, i attempted an urgent bank transfer but the app gave an error and I cannot see if it went through.",mobile_app_transfer,False
